,Start Time:,2025-09-05 10:00:00, End Time:,2025-09-08 14:00:00, Normalization:,State Time,,,
Time Stamps:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-05 10:00:00,10,NaN,NaN,NaN,NaN,8,2,4,NaN
2025-09-05 11:00:00,11,6.77,2,4,4.48,6.92,NaN,4,7.58
2025-09-05 12:00:00,12,3.68,3.18,5.1,4.6,7.05,5.87,5.33,4.86
2025-09-05 13:00:00,13,4.78,5.93,5,6.46,8.19,5.63,4.42,5.81
2025-09-05 14:00:00,14,6.13,2.8,3.52,4.61,8.52,7.63,6.6,5.5
2025-09-05 15:00:00,15,8.25,5.57,5.54,6.77,5.81,4.32,5.78,5.65
2025-09-05 16:00:00,16,5.43,6.74,3.57,5.89,5.7,11,5.75,4.85
2025-09-05 17:00:00,17,8.95,6.6,5,5.94,8.2,5.78,5.86,6
2025-09-05 18:00:00,18,4.84,3.88,5.63,4.6,6.04,7.11,4.43,5.2
2025-09-05 19:00:00,19,5.33,8,5.9,5.42,6.43,9.41,5.53,6.27
2025-09-05 20:00:00,20,5.5,3,3.11,3.5,6.7,5.14,5.06,4.91
2025-09-05 21:00:00,21,7,3,8,4,NaN,NaN,4.5,NaN
2025-09-05 22:00:00,22,5.73,10.4,5.17,5.75,4,NaN,4.96,3
2025-09-05 23:00:00,23,6.29,7.33,10.8,2.91,5.62,4.4,5.47,2
2025-09-06 00:00:00,24,8.44,6.4,3.83,5.55,7.25,6.41,4,4.77
2025-09-06 01:00:00,25,3.14,10.27,4.7,2.8,5.19,4.82,3.57,9.09
2025-09-06 02:00:00,26,5.43,2.67,4.44,5.56,6.25,3.33,3.5,8.67
2025-09-06 03:00:00,27,9.42,9.25,3.67,3.48,4,6,3.88,4.24
2025-09-06 04:00:00,28,4.91,5.21,6,4.75,6.86,3.56,2,6.15
2025-09-06 05:00:00,29,3.21,5.48,3.55,5.09,5,5.92,4.67,5.67
2025-09-06 06:00:00,30,6.11,6.42,5.11,6.25,4.32,5.78,6.11,6.31
2025-09-06 07:00:00,31,9.5,5.6,4.33,6.42,6.75,8.13,5.69,5.38
2025-09-06 08:00:00,32,6.33,4.75,5.71,6.16,4.58,10.92,6.47,2.8
2025-09-06 09:00:00,33,4.08,5.33,4.17,4.88,5,4.5,3.5,6.5
2025-09-06 10:00:00,34,8.31,6.62,5.94,6.63,13.3,4.08,3.91,4.71
2025-09-06 11:00:00,35,4.16,6.77,5.43,7.25,4.58,5.84,9.33,4.15
2025-09-06 12:00:00,36,8.63,6.33,4.3,2.22,6.76,7.81,4.47,6
2025-09-06 13:00:00,37,4.97,5.13,3.93,4.71,8,5.93,9.13,6.81
2025-09-06 14:00:00,38,5.55,8,6.43,4.25,5.62,4.29,6.22,5.73
2025-09-06 15:00:00,39,6.21,5.36,8.7,2.44,4.3,3.87,6.57,9
2025-09-06 16:00:00,40,5,6,5.85,2.67,5.57,4.29,5.17,4
2025-09-06 17:00:00,41,4.43,4.78,5.76,5.2,6.51,4.29,5.14,5.33
2025-09-06 18:00:00,42,4.71,3.83,4.58,5.07,8,4.5,6,3.6
2025-09-06 19:00:00,43,7.48,5.5,6.2,5.05,4.67,5.07,4.07,5.2
2025-09-06 20:00:00,44,8.4,2.86,8,5.75,4.86,NaN,2.5,4.27
2025-09-06 21:00:00,45,5.2,4.67,5,10,4.4,4,8,NaN
2025-09-06 22:00:00,46,4.44,2.4,4,5.18,6.5,8,4.4,6.4
2025-09-06 23:00:00,47,4.27,9,2,4.29,5.81,2.57,5.5,4.5
2025-09-07 00:00:00,48,6.06,3.33,7.33,6.4,5.71,4.88,4.22,3.9
2025-09-07 01:00:00,49,27.43,4.5,6,10,7.33,5.69,4.77,12.8
2025-09-07 02:00:00,50,13.78,6.4,4.83,5.85,4.12,6.18,3.87,7.65
2025-09-07 03:00:00,51,5.14,4.18,13.33,4.95,5.59,5.75,5.64,10
2025-09-07 04:00:00,52,4.35,4.75,9.67,5.82,6.13,5,7.5,4.67
2025-09-07 05:00:00,53,4.31,4,6.85,7.58,7.1,4.91,4.32,7.06
2025-09-07 06:00:00,54,8.22,4.67,6.57,5.4,5.88,4.22,6,8.43
2025-09-07 07:00:00,55,5.6,7.05,4.36,7.53,7.58,7.78,4.1,4.67
2025-09-07 08:00:00,56,4.85,4.67,8,3,5.62,3.27,3.53,4.11
2025-09-07 09:00:00,57,9.28,6.25,6.83,7.67,6.54,8.36,5.26,5.15
2025-09-07 10:00:00,58,8.05,7.71,7.18,5.13,5.42,5.33,4.83,8.5
2025-09-07 11:00:00,59,6.98,6.43,6.26,11,5.71,6.5,6.86,7.73
2025-09-07 12:00:00,60,5,5.88,4.78,8.38,5.21,4,9.23,5.73
2025-09-07 13:00:00,61,7.24,5.23,8.97,6.94,5.86,10.44,7.44,8.82
2025-09-07 14:00:00,62,9.19,7.04,5.85,4.74,5.94,2.67,6.86,4.7
2025-09-07 15:00:00,63,7,4.2,5.2,5.68,5.94,6.89,6.37,5.11
2025-09-07 16:00:00,64,7.93,4.29,6.55,5.56,4.91,4.38,5.28,4.8
2025-09-07 17:00:00,65,11.02,4.46,3.91,3.11,4.83,4,5.74,7.75
2025-09-07 18:00:00,66,5.29,5.89,5.59,6.7,6.44,4.62,5.05,6.95
2025-09-07 19:00:00,67,6.64,4.3,6.11,4.38,5.42,4.15,4.46,7.23
2025-09-07 20:00:00,68,8.67,5.73,5,2,5.14,3.86,6.5,5.09
2025-09-07 21:00:00,69,4.5,9.5,4.8,5.33,4,2,7.6,3.5
2025-09-07 22:00:00,70,9.83,3.29,6.22,13,2.5,5,5.6,5
2025-09-07 23:00:00,71,7.1,5.75,6.4,5.25,4.14,4.4,5.48,3.92
2025-09-08 00:00:00,72,5.5,7.43,3.75,4.42,3.36,2.33,6.06,5.3
2025-09-08 01:00:00,73,4.59,5.68,6.58,7.82,3.6,2,5.27,9.18
2025-09-08 02:00:00,74,6,4.46,8.46,4.4,6.57,4.56,6.25,6.78
2025-09-08 03:00:00,75,8.4,4.63,5.75,6,4.89,NaN,6.5,7.57
2025-09-08 04:00:00,76,6.86,7,6,7.14,4.21,2,5.27,2.4
2025-09-08 05:00:00,77,4.49,5.27,9,3.6,5,3.38,4.57,4.5
2025-09-08 06:00:00,78,8.19,5.41,3.33,5.03,5.45,4.67,3.83,6.75
2025-09-08 07:00:00,79,8.62,3.78,5.82,5.79,3.68,5.54,8.86,5.35
2025-09-08 08:00:00,80,5.13,3.5,4,8.36,9.82,5.73,6.42,8.8
2025-09-08 09:00:00,81,5.56,5,7.92,10.48,6.84,5.6,5.05,6.71
2025-09-08 10:00:00,82,4.67,4,4.33,4.15,6.29,3.42,3.33,4
2025-09-08 11:00:00,83,4.13,5.41,2.36,5,4.88,3.23,2.67,3.67
2025-09-08 12:00:00,84,4.82,4.67,2.77,2.4,4,4.33,2.29,2.67
2025-09-08 13:00:00,85,3.75,3,3.09,4.67,3.07,4.13,4,3.87
,,,,,,,,,